OpenBUGS version 3.2.3 rev 1012
model is syntactically correct
data loaded
model compiled
initial values loaded and chain initialized but another chain contain uninitialized variables
model is initialized
model is already initialized
5000 updates took 1325 s
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
monitor set
10000 updates took 4293508 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	dIA_Oir[6,8]	3.338	0.9767	1.723	3.238	5.537	20000
	dIA_Oir[6,9]	11.22	1.937	7.742	11.1	15.43	20000
	dIA_Oir[6,10]	7.273	1.515	4.594	7.172	10.41	20000
	dIA_Oir[6,11]	32.98	3.332	26.77	32.88	39.8	20000
	dIA_Oir[6,13]	5.989	1.394	3.569	5.878	9.038	20000
	dIA_Oir[6,14]	11.06	1.9	7.653	10.95	15.11	20000
	dIA_Oir[6,15]	17.71	2.434	13.29	17.6	22.81	20000
	dIA_Oir[6,16]	15.43	2.41	11.13	15.27	20.5	20000
	dIA_Oir[6,17]	19.72	2.829	14.66	19.54	25.72	20000
	dIA_Oir[6,18]	28.19	3.008	22.65	28.07	34.45	20000
	dIA_Oir[6,19]	20.58	2.621	15.83	20.45	26.06	20000
	dIA_Oir[6,20]	20.48	2.747	15.38	20.36	26.19	20000
	dIA_Oir[6,21]	26.1	3.301	20.17	25.9	33.19	20000
	dIA_Oir[6,22]	27.25	3.032	21.61	27.14	33.52	20000
	dIA_Oir[6,23]	31.26	7.488	17.76	30.83	47.22	20000
	dIA_Oir[6,24]	32.7	7.756	18.9	32.27	48.92	20000
	dIA_Oir[6,25]	29.61	7.343	16.42	29.2	45.11	20000
	dIA_Oir[6,26]	14.97	5.072	6.381	14.53	26.02	20000
	dIA_Oir[6,27]	28.36	7.144	15.88	27.89	43.62	20000
	dIA_Oir[6,28]	24.15	6.487	12.93	23.65	38.26	20000
	dIA_Oir[6,29]	10.83	3.973	4.295	10.42	19.75	20000
	dIA_Oir[6,30]	9.372	3.785	3.33	8.913	18.17	20000
	dIA_Oir[7,8]	3.405	2.003	0.7501	2.999	8.362	20000
	dIA_Oir[7,9]	21.52	6.322	10.68	21.04	35.45	20000
	dIA_Oir[7,10]	1.059	0.7575	0.203	0.8585	2.978	20000
	dIA_Oir[7,11]	2.454	0.5479	1.543	2.406	3.677	20000
	dIA_Oir[7,13]	17.78	2.457	13.99	17.47	23.52	20000
	dIA_Oir[7,14]	19.49	1.946	16.03	19.36	23.77	20000
	dIA_Oir[7,15]	20.94	1.784	17.7	20.86	24.63	20000
	dIA_Oir[7,16]	8.154	1.751	5.532	7.885	12.31	20000
	dIA_Oir[7,17]	22.4	2.092	18.66	22.28	27.03	20000
	dIA_Oir[7,18]	0.6204	0.2776	0.2168	0.5739	1.286	20000
	dIA_Oir[7,19]	17.55	1.8	14.25	17.46	21.37	20000
	dIA_Oir[7,20]	27.67	3.377	22.2	27.26	35.26	20000
	dIA_Oir[7,21]	38.51	3.572	32.41	38.24	46.32	20000
	dIA_Oir[7,22]	22.9	2.25	18.88	22.77	27.61	20000
	dIA_Oir[7,23]	35.34	8.265	20.71	34.86	53.1	20000
	dIA_Oir[7,24]	45.19	9.561	27.95	44.65	65.46	20000
	dIA_Oir[7,25]	55.39	10.65	35.81	54.85	77.62	20000
	dIA_Oir[7,26]	24.44	6.646	12.83	23.91	38.91	20000
	dIA_Oir[7,27]	58.65	10.93	39.0	58.06	81.95	20000
	dIA_Oir[7,28]	41.78	9.053	25.58	41.21	60.88	20000
	dIA_Oir[7,29]	26.89	6.986	14.31	26.43	41.69	20000
	dIA_Oir[7,30]	10.62	4.021	4.135	10.16	19.62	20000
	dIA_Oir[8,8]	2.585	0.8808	1.178	2.485	4.605	20000
	dIA_Oir[8,10]	14.98	2.2	11.07	14.85	19.63	20000
	dIA_Oir[8,11]	37.59	3.378	31.36	37.45	44.44	20000
	dIA_Oir[8,13]	11.66	1.808	8.376	11.58	15.43	20000
	dIA_Oir[8,14]	13.71	1.971	10.17	13.61	17.82	20000
	dIA_Oir[8,15]	42.16	3.877	34.95	42.0	50.2	20000
	dIA_Oir[8,16]	10.18	1.678	7.153	10.08	13.68	20000
	dIA_Oir[8,17]	13.41	1.93	9.937	13.31	17.44	20000
	dIA_Oir[8,18]	13.21	1.95	9.633	13.11	17.33	20000
	dIA_Oir[8,19]	16.61	2.204	12.58	16.49	21.22	20000
	dIA_Oir[8,20]	7.634	1.665	4.772	7.506	11.24	20000
	dIA_Oir[8,21]	6.304	1.331	3.983	6.197	9.123	20000
	dIA_Oir[8,22]	17.32	2.348	13.13	17.14	22.3	20000
	dIA_Oir[8,23]	27.79	6.784	15.73	27.34	42.26	20000
	dIA_Oir[8,24]	15.49	4.871	7.109	15.04	26.14	20000
	dIA_Oir[8,25]	15.48	4.84	7.107	15.1	25.98	20000
	dIA_Oir[8,26]	8.789	3.396	3.337	8.415	16.45	20000
	dIA_Oir[8,27]	14.1	4.552	6.389	13.66	24.1	20000
	dIA_Oir[8,28]	14.63	4.66	6.767	14.25	24.81	20000
	dIA_Oir[8,29]	29.72	7.136	16.88	29.28	46.4	20000
	dIA_Oir[8,30]	8.447	3.414	2.912	8.054	16.14	20000
	dIA_Oir[9,8]	2.462	1.244	0.8038	2.199	5.53	20000
	dIA_Oir[9,10]	2.44	0.7778	1.197	2.343	4.201	20000
	dIA_Oir[9,11]	33.77	3.268	27.93	33.59	40.64	20000
	dIA_Oir[9,13]	47.62	8.056	34.58	46.67	65.98	20000
	dIA_Oir[9,15]	64.4	8.475	50.43	63.47	83.53	20000
	dIA_Oir[9,16]	15.61	2.821	11.04	15.26	21.89	20000
	dIA_Oir[9,17]	76.37	8.746	61.77	75.4	96.11	20000
	dIA_Oir[9,18]	0.3854	0.2108	0.1074	0.3432	0.9123	20000
	dIA_Oir[9,19]	21.42	2.707	16.72	21.23	27.03	20000
	dIA_Oir[9,20]	37.31	8.405	24.29	36.15	56.45	20000
	dIA_Oir[9,21]	52.92	4.308	45.11	52.65	62.14	20000
	dIA_Oir[9,22]	61.88	8.902	47.25	60.77	82.33	20000
	dIA_Oir[9,23]	42.96	10.13	24.39	42.33	64.1	20000
	dIA_Oir[9,24]	59.96	12.18	37.48	59.51	85.43	20000
	dIA_Oir[9,25]	50.58	11.17	30.16	49.82	74.85	20000
	dIA_Oir[9,26]	59.98	12.17	37.96	59.36	85.79	20000
	dIA_Oir[9,27]	67.3	12.87	44.01	66.57	93.9	20000
	dIA_Oir[9,28]	53.15	11.4	32.49	52.43	77.92	20000
	dIA_Oir[9,29]	52.7	11.37	32.14	52.13	76.68	20000
	dIA_Oir[9,30]	31.8	8.792	16.2	31.24	50.79	20000
	dIA_Oir[10,8]	4.54	3.018	0.7524	3.86	12.3	20000
	dIA_Oir[10,13]	21.22	2.895	15.97	21.06	27.28	20000
	dIA_Oir[10,15]	29.76	3.302	23.65	29.65	36.57	20000
	dIA_Oir[10,16]	0.7769	0.4228	0.2128	0.6938	1.828	20000
	dIA_Oir[10,17]	7.871	1.706	4.934	7.747	11.61	20000
	dIA_Oir[10,18]	0.4937	0.314	0.1029	0.4233	1.282	20000
	dIA_Oir[10,19]	48.24	4.786	39.5	48.1	58.25	20000
	dIA_Oir[10,20]	30.62	3.799	23.75	30.44	38.62	20000
	dIA_Oir[10,21]	31.65	3.799	24.77	31.47	39.55	20000
	dIA_Oir[10,22]	17.1	2.959	11.96	16.89	23.58	20000
	dIA_Oir[10,23]	5.749	3.361	1.233	5.045	14.1	20000
	dIA_Oir[10,24]	33.25	10.75	14.66	32.39	56.55	20000
	dIA_Oir[10,25]	46.72	13.06	23.78	45.85	74.67	20000
	dIA_Oir[10,26]	30.65	10.25	12.88	29.87	53.27	20000
	dIA_Oir[10,27]	26.54	9.372	10.72	25.59	47.5	20000
	dIA_Oir[10,28]	46.16	13.0	23.53	45.08	74.67	20000
	dIA_Oir[10,29]	31.71	10.55	13.81	30.78	55.51	20000
	dIA_Oir[10,30]	16.53	7.323	4.854	15.65	33.08	20000
	dIA_Oir[11,8]	40.58	5.123	30.96	40.37	51.01	20000
	dIA_Oir[11,9]	5.654	1.656	2.904	5.5	9.374	20000
	dIA_Oir[11,10]	0.2655	0.2029	0.04726	0.2119	0.7936	20000
	dIA_Oir[11,13]	126.4	9.033	109.2	126.3	144.7	20000
	dIA_Oir[11,14]	72.55	7.556	58.73	72.26	88.56	20000
	dIA_Oir[11,15]	91.07	7.571	77.12	90.81	106.3	20000
	dIA_Oir[11,16]	0.3726	0.2608	0.07453	0.3065	1.044	20000
	dIA_Oir[11,17]	73.02	7.436	59.49	72.65	88.54	20000
	dIA_Oir[11,18]	0.2519	0.1932	0.04048	0.2009	0.7568	20000
	dIA_Oir[11,19]	69.29	6.589	56.96	69.1	82.96	20000
	dIA_Oir[11,20]	6.835	1.958	3.559	6.654	11.21	20000
	dIA_Oir[11,21]	63.77	6.344	51.78	63.5	76.88	20000
	dIA_Oir[11,22]	22.0	3.682	15.36	21.8	29.85	20000
	dIA_Oir[11,23]	9.835	4.669	3.196	9.032	20.91	20000
	dIA_Oir[11,24]	40.54	13.06	18.66	39.29	69.5	20000
	dIA_Oir[11,25]	31.51	11.25	12.85	30.33	57.01	20000
	dIA_Oir[11,26]	58.17	16.08	30.31	56.68	94.03	20000
	dIA_Oir[11,27]	39.44	12.37	19.34	38.1	67.36	20000
	dIA_Oir[11,28]	61.51	16.77	32.75	60.27	97.4	20000
	dIA_Oir[11,29]	63.38	17.33	33.34	61.77	100.2	20000
	dIA_Oir[11,30]	10.02	5.244	2.667	9.091	22.98	20000
	dRR_Oir[1,1]	1.435	0.7022	0.4324	1.316	3.107	20000
	dRR_Oir[1,2]	9.892	2.032	6.346	9.737	14.31	20000
	dRR_Oir[1,3]	7.937	1.725	4.933	7.815	11.68	20000
	dRR_Oir[1,5]	11.75	2.145	7.986	11.62	16.27	20000
	dRR_Oir[1,6]	3.381	1.149	1.536	3.25	6.035	20000
	dRR_Oir[1,7]	9.283	2.034	5.84	9.106	13.74	20000
	dRR_Oir[1,8]	2.48	0.8457	1.112	2.383	4.382	20000
	dRR_Oir[1,9]	7.771	1.846	4.636	7.608	11.79	20000
	dRR_Oir[1,10]	15.58	2.27	11.54	15.44	20.41	20000
	dRR_Oir[1,11]	33.92	3.354	27.83	33.81	40.89	20000
	dRR_Oir[1,12]	0.7696	0.478	0.1586	0.6664	1.982	20000
	dRR_Oir[1,13]	12.2	1.945	8.669	12.1	16.29	20000
	dRR_Oir[1,14]	12.84	2.029	9.188	12.73	17.06	20000
	dRR_Oir[1,15]	39.63	3.846	32.47	39.48	47.58	20000
	dRR_Oir[1,16]	9.705	1.745	6.557	9.591	13.38	20000
	dRR_Oir[1,17]	13.29	2.038	9.607	13.18	17.55	20000
	dRR_Oir[1,18]	12.19	1.997	8.574	12.09	16.34	20000
	dRR_Oir[1,19]	17.72	2.379	13.36	17.59	22.74	20000
	dRR_Oir[1,20]	7.376	1.72	4.434	7.236	11.13	20000
	dRR_Oir[1,21]	6.291	1.404	3.852	6.187	9.353	20000
	dRR_Oir[1,22]	13.86	2.219	9.963	13.72	18.52	20000
	dRR_Oir[2,2]	6.341	4.788	1.06	5.099	18.92	20000
	dRR_Oir[2,3]	11.55	6.787	2.797	10.09	28.26	20000
	dRR_Oir[2,5]	5.556	4.092	1.007	4.508	16.39	20000
	dRR_Oir[2,6]	2.472	2.211	0.3307	1.832	8.356	20000
	dRR_Oir[2,7]	5.625	4.465	0.8595	4.432	17.17	20000
	dRR_Oir[2,8]	2.813	2.472	0.3754	2.095	9.542	20000
	dRR_Oir[2,9]	5.705	4.475	0.9101	4.477	17.46	20000
	dRR_Oir[2,10]	7.24	4.928	1.411	6.005	19.87	20000
	dRR_Oir[2,11]	14.66	7.902	4.11	13.08	33.88	20000
	dRR_Oir[2,12]	0.5573	0.6262	0.04924	0.3611	2.238	20000
	dRR_Oir[2,13]	8.97	5.871	1.938	7.553	23.82	20000
	dRR_Oir[2,14]	18.24	9.228	5.663	16.49	40.17	20000
	dRR_Oir[2,15]	19.4	10.58	5.364	17.35	46.24	20000
	dRR_Oir[2,16]	6.114	4.422	1.193	4.976	17.31	20000
	dRR_Oir[2,17]	10.82	6.725	2.514	9.269	28.16	20000
	dRR_Oir[2,18]	6.402	4.407	1.265	5.275	17.68	20000
	dRR_Oir[2,19]	6.298	4.534	1.183	5.136	17.82	20000
	dRR_Oir[2,20]	41.73	18.77	15.07	38.31	87.03	20000
	dRR_Oir[2,21]	8.67	5.976	1.737	7.223	23.78	20000
	dRR_Oir[2,22]	25.93	11.99	8.721	23.74	55.03	20000
	dRR_Oir[3,8]	3.737	3.977	0.4012	2.48	14.49	20000
	dRR_Oir[3,10]	8.38	7.739	1.095	6.057	29.26	20000
	dRR_Oir[3,11]	78.16	14.59	52.41	77.07	110.1	20000
	dRR_Oir[3,12]	0.4781	0.4875	0.04993	0.3261	1.77	20000
	dRR_Oir[3,13]	5.669	2.549	2.004	5.24	11.76	20000
	dRR_Oir[3,14]	23.43	6.848	12.45	22.64	39.22	20000
	dRR_Oir[3,15]	70.16	14.81	44.66	68.8	103.5	20000
	dRR_Oir[3,16]	15.39	5.268	7.223	14.69	26.93	20000
	dRR_Oir[3,17]	14.76	5.038	6.908	14.04	26.37	20000
	dRR_Oir[3,18]	24.44	7.008	13.04	23.59	40.38	20000
	dRR_Oir[3,19]	4.28	2.32	1.178	3.807	10.07	20000
	dRR_Oir[3,20]	10.49	4.714	3.798	9.725	22.06	20000
	dRR_Oir[3,21]	6.449	3.109	2.08	5.872	14.01	20000
	dRR_Oir[3,22]	55.64	12.56	34.73	54.44	83.87	20000
	dRR_Oir[4,10]	15.42	3.47	9.801	15.03	23.17	20000
	dRR_Oir[4,11]	34.4	6.193	24.28	33.75	48.53	20000
	dRR_Oir[4,13]	11.05	2.891	6.405	10.72	17.76	20000
	dRR_Oir[4,14]	5.579	1.902	2.653	5.334	10.02	20000
	dRR_Oir[4,16]	7.6	2.264	4.046	7.315	12.76	20000
	dRR_Oir[4,17]	12.51	3.12	7.45	12.15	19.57	20000
	dRR_Oir[4,18]	10.46	2.722	6.04	10.14	16.62	20000
	dRR_Oir[4,19]	7.139	2.175	3.677	6.87	12.07	20000
	dRR_Oir[4,20]	14.67	3.461	9.029	14.28	22.73	20000
	dRR_Oir[4,21]	7.316	2.254	3.756	7.032	12.39	20000
	dRR_Oir[4,22]	16.63	3.803	10.61	16.21	25.39	20000
	dRR_Oir[5,1]	1.817	0.7808	0.6409	1.7	3.654	20000
	dRR_Oir[5,2]	21.94	2.874	16.66	21.8	27.97	20000
	dRR_Oir[5,3]	21.26	2.816	16.12	21.15	27.04	20000
	dRR_Oir[5,5]	16.2	2.492	11.7	16.08	21.45	20000
	dRR_Oir[5,6]	0.5933	0.3913	0.1094	0.502	1.596	20000
	dRR_Oir[5,7]	1.379	0.6786	0.4161	1.264	3.044	20000
	dRR_Oir[5,8]	3.338	0.9767	1.723	3.238	5.537	20000
	dRR_Oir[5,9]	11.22	1.937	7.742	11.1	15.43	20000
	dRR_Oir[5,10]	7.273	1.515	4.594	7.172	10.41	20000
	dRR_Oir[5,11]	32.98	3.332	26.77	32.88	39.8	20000
	dRR_Oir[5,12]	0.6159	0.3799	0.1324	0.533	1.571	20000
	dRR_Oir[5,13]	5.989	1.394	3.569	5.878	9.038	20000
	dRR_Oir[5,14]	11.06	1.9	7.653	10.95	15.11	20000
	dRR_Oir[5,15]	17.71	2.434	13.29	17.6	22.81	20000
	dRR_Oir[5,16]	15.43	2.41	11.13	15.27	20.5	20000
	dRR_Oir[5,17]	19.72	2.829	14.66	19.54	25.72	20000
	dRR_Oir[5,18]	28.19	3.008	22.65	28.07	34.45	20000
	dRR_Oir[5,19]	20.58	2.621	15.83	20.45	26.06	20000
	dRR_Oir[5,20]	20.48	2.747	15.38	20.36	26.19	20000
	dRR_Oir[5,21]	26.1	3.301	20.17	25.9	33.19	20000
	dRR_Oir[5,22]	27.25	3.032	21.61	27.14	33.52	20000
	dRR_Oir[6,1]	0.9471	0.6504	0.1751	0.7854	2.627	20000
	dRR_Oir[6,2]	11.95	2.955	6.925	11.68	18.5	20000
	dRR_Oir[6,3]	9.87	2.666	5.409	9.621	15.76	20000
	dRR_Oir[6,5]	2.956	1.368	0.9725	2.721	6.223	20000
	dRR_Oir[6,6]	0.5831	0.474	0.07907	0.4501	1.823	20000
	dRR_Oir[6,7]	1.114	0.808	0.1928	0.9119	3.214	20000
	dRR_Oir[6,8]	1.317	0.8487	0.28	1.115	3.475	20000
	dRR_Oir[6,9]	3.467	1.655	1.091	3.184	7.372	20000
	dRR_Oir[6,10]	6.54	2.115	3.093	6.298	11.32	20000
	dRR_Oir[6,11]	11.39	2.918	6.413	11.11	17.82	20000
	dRR_Oir[6,12]	0.6078	0.4601	0.09753	0.4835	1.828	20000
	dRR_Oir[6,13]	6.669	2.417	2.9	6.339	12.25	20000
	dRR_Oir[6,14]	1.846	1.038	0.4888	1.636	4.404	20000
	dRR_Oir[6,15]	15.24	3.484	9.252	14.98	22.91	20000
	dRR_Oir[6,16]	2.016	1.068	0.5686	1.81	4.666	20000
	dRR_Oir[6,17]	5.985	2.429	2.371	5.618	11.8	20000
	dRR_Oir[6,18]	10.7	2.78	5.958	10.47	16.9	20000
	dRR_Oir[6,19]	7.087	2.513	3.134	6.748	12.83	20000
	dRR_Oir[6,20]	10.83	2.843	6.024	10.53	17.15	20000
	dRR_Oir[6,21]	7.932	2.508	3.896	7.632	13.61	20000
	dRR_Oir[6,22]	6.194	2.056	2.89	5.947	10.81	20000
	dRR_Oir[7,10]	6.198	2.066	2.911	5.937	11.07	20000
	dRR_Oir[7,11]	11.88	3.102	6.731	11.55	18.93	20000
	dRR_Oir[7,12]	0.3954	0.313	0.0624	0.3121	1.225	20000
	dRR_Oir[7,13]	4.479	1.759	1.823	4.214	8.625	20000
	dRR_Oir[7,14]	1.657	0.9154	0.4541	1.466	3.989	20000
	dRR_Oir[7,15]	8.213	2.595	4.082	7.894	14.21	20000
	dRR_Oir[7,16]	3.175	1.503	1.051	2.907	6.818	20000
	dRR_Oir[7,17]	4.444	1.86	1.727	4.144	8.845	20000
	dRR_Oir[7,18]	10.28	2.773	5.695	9.998	16.48	20000
	dRR_Oir[7,19]	4.147	1.674	1.639	3.875	8.092	20000
	dRR_Oir[7,20]	4.827	1.824	2.022	4.582	9.072	20000
	dRR_Oir[7,21]	5.522	2.158	2.247	5.222	10.58	20000
	dRR_Oir[7,22]	4.33	1.718	1.742	4.064	8.397	20000
	dRR_Oir[8,10]	22.27	4.384	14.73	21.97	31.85	20000
	dRR_Oir[8,11]	52.42	7.516	39.12	51.88	68.67	20000
	dRR_Oir[8,12]	0.7993	0.5478	0.152	0.6636	2.192	20000
	dRR_Oir[8,14]	6.682	2.166	3.236	6.406	11.6	20000
	dRR_Oir[8,15]	47.92	7.967	34.3	47.24	66.05	20000
	dRR_Oir[8,16]	22.09	5.241	13.62	21.53	33.98	20000
	dRR_Oir[8,17]	38.82	7.782	26.29	37.89	57.35	20000
	dRR_Oir[8,18]	40.25	6.185	29.35	39.79	53.28	20000
	dRR_Oir[8,19]	27.4	5.27	18.39	26.95	38.9	20000
	dRR_Oir[8,20]	31.61	5.681	21.94	31.08	43.92	20000
	dRR_Oir[8,21]	25.13	5.628	15.79	24.49	37.66	20000
	dRR_Oir[8,22]	38.2	6.421	27.06	37.72	52.15	20000
	dRR_Oir[9,11]	76.65	21.52	42.76	73.85	126.5	20000
	dRR_Oir[9,12]	0.891	1.067	0.05436	0.533	3.914	20000
	dRR_Oir[9,13]	9.27	4.415	3.009	8.524	19.96	20000
	dRR_Oir[9,14]	15.06	6.163	5.931	14.07	29.94	20000
	dRR_Oir[9,15]	21.1	8.124	9.051	19.81	39.93	20000
	dRR_Oir[9,16]	2.427	1.764	0.4326	1.969	7.014	20000
	dRR_Oir[9,17]	2.828	1.996	0.5323	2.311	7.938	20000
	dRR_Oir[9,18]	2.838	1.964	0.5482	2.346	7.908	20000
	dRR_Oir[9,19]	6.582	3.591	1.786	5.822	15.36	20000
	dRR_Oir[9,20]	6.17	3.461	1.608	5.443	14.73	20000
	dRR_Oir[9,21]	14.89	6.17	5.64	13.93	29.68	20000
	dRR_Oir[9,22]	12.79	5.565	4.695	11.85	25.87	20000
	dRR_Oir[10,13]	4.342	1.251	2.308	4.191	7.225	20000
	dRR_Oir[10,14]	4.361	1.233	2.366	4.214	7.132	20000
	dRR_Oir[10,15]	4.292	1.406	2.147	4.093	7.564	20000
	dRR_Oir[10,16]	5.016	1.384	2.788	4.861	8.17	20000
	dRR_Oir[10,17]	3.582	1.153	1.757	3.435	6.23	20000
	dRR_Oir[10,18]	12.86	2.53	8.697	12.59	18.55	20000
	dRR_Oir[10,19]	7.745	1.861	4.765	7.536	11.93	20000
	dRR_Oir[10,20]	5.972	1.56	3.48	5.797	9.527	20000
	dRR_Oir[10,21]	9.426	2.216	5.873	9.167	14.4	20000
	dRR_Oir[10,22]	8.501	2.0	5.293	8.268	13.15	20000
	dRR_Oir[11,13]	5.915	1.594	3.372	5.721	9.599	20000
	dRR_Oir[11,14]	17.31	3.317	12.0	16.95	24.98	20000
	dRR_Oir[11,15]	12.16	2.726	7.878	11.81	18.5	20000
	dRR_Oir[11,16]	9.151	2.124	5.718	8.913	13.95	20000
	dRR_Oir[11,17]	3.456	1.166	1.638	3.299	6.144	20000
	dRR_Oir[11,18]	21.54	3.753	15.45	21.12	29.99	20000
	dRR_Oir[11,19]	9.304	2.251	5.795	9.022	14.39	20000
	dRR_Oir[11,20]	8.261	2.001	5.104	8.039	12.88	20000
	dRR_Oir[11,21]	10.02	2.306	6.306	9.744	15.28	20000
	dRR_Oir[11,22]	14.71	3.002	9.907	14.36	21.39	20000
	dRR_Oir[12,10]	8.555	2.632	4.42	8.235	14.67	20000
	dRR_Oir[12,11]	22.18	4.91	14.13	21.64	33.5	20000
	dRR_Oir[12,12]	0.2146	0.238	0.01415	0.1374	0.8752	20000
	dRR_Oir[12,13]	21.98	4.952	14.03	21.36	33.22	20000
	dRR_Oir[12,14]	42.82	7.948	30.04	41.87	61.19	20000
	dRR_Oir[13,1]	2.718	1.409	0.7607	2.458	6.109	20000
	dRR_Oir[13,2]	6.732	2.403	2.993	6.416	12.27	20000
	dRR_Oir[13,3]	9.333	2.868	4.644	9.048	15.65	20000
	dRR_Oir[13,5]	7.332	2.475	3.368	7.046	13.04	20000
	dRR_Oir[13,6]	1.219	0.934	0.1815	0.9809	3.679	20000
	dRR_Oir[13,7]	11.27	3.207	5.928	10.98	18.49	20000
	dRR_Oir[13,8]	1.481	1.004	0.2815	1.242	4.006	20000
	dRR_Oir[13,9]	17.42	3.971	10.68	17.08	26.16	20000
	dRR_Oir[13,10]	0.6915	0.549	0.1012	0.5439	2.116	20000
	dRR_Oir[13,11]	2.086	1.053	0.6424	1.888	4.657	20000
	dRR_Oir[13,12]	0.1227	0.1367	0.009824	0.07951	0.5055	20000
	dRR_Oir[13,13]	7.92	2.601	3.724	7.603	13.94	20000
	dRR_Oir[13,14]	22.48	4.436	14.72	22.16	32.18	20000
	dRR_Oir[13,15]	20.22	4.201	12.87	19.92	29.13	20000
	dRR_Oir[13,16]	4.411	1.836	1.702	4.126	8.726	20000
